date,ticker
2026-05-11,SNDK
2026-05-11,MU
2026-05-11,INTC
2026-05-11,MRNA
2026-05-11,TTD
2026-05-11,TECH
2026-05-11,RDDT
2026-05-11,APP
2026-05-11,HUM
2026-05-11,ALB
2026-05-12,COHR
2026-05-12,LITE
2026-05-12,COIN
2026-05-12,GLW
2026-05-12,HOOD
2026-05-12,VRT
2026-05-12,CHTR
2026-05-12,TTD
2026-05-12,TECH
2026-05-12,ZTS
2026-05-13,ANET
2026-05-13,MU
2026-05-13,GLW
2026-05-13,VRT
2026-05-13,HUM
2026-05-13,MRNA
2026-05-13,COIN
2026-05-13,FCX
2026-05-13,TTD
2026-05-13,CHTR
2026-05-14,AKAM
2026-05-14,INTC
2026-05-14,LITE
2026-05-14,RDDT
2026-05-14,MRNA
2026-05-14,TECH
2026-05-14,CHTR
2026-05-14,ALB
2026-05-14,VST
2026-05-14,NCLH
2026-05-15,GLW
2026-05-15,COIN
2026-05-15,CIEN
2026-05-15,HOOD
2026-05-15,ON
2026-05-15,APP
2026-05-15,MRNA
2026-05-15,VRT
2026-05-15,ALB
2026-05-15,BLDR
2026-05-18,SNDK
2026-05-18,LITE
2026-05-18,APP
2026-05-18,INTC
2026-05-18,TTD
2026-05-18,MRNA
2026-05-18,DASH
2026-05-18,TECH
2026-05-18,RDDT
2026-05-18,COIN
2026-05-19,QCOM
2026-05-19,SNDK
2026-05-19,WDC
2026-05-19,ZTS
2026-05-19,TTD
2026-05-19,FDS
2026-05-19,ALB
2026-05-19,VRT
2026-05-19,FIX
2026-05-19,MRNA
2026-05-20,INTC
2026-05-20,SNDK
2026-05-20,CIEN
2026-05-20,FIX
2026-05-20,CEG
2026-05-20,MRNA
2026-05-20,NCLH
2026-05-20,PWR
2026-05-20,ALB
2026-05-20,VRT
2026-05-21,SMCI
2026-05-21,DASH
2026-05-21,CCL
2026-05-21,NOW
2026-05-21,IT
2026-05-21,BLDR
2026-05-21,RCL
2026-05-21,UAL
2026-05-21,TECH
2026-05-21,MRNA
2026-05-22,SNDK
2026-05-22,GLW
2026-05-22,COHR
2026-05-22,RDDT
2026-05-22,NCLH
2026-05-22,ZTS
2026-05-22,F
2026-05-22,ALB
2026-05-22,VRT
2026-05-22,GNRC
2026-05-26,DELL
2026-05-26,QCOM
2026-05-26,INTU
2026-05-26,TTD
2026-05-26,CVNA
2026-05-26,VRT
2026-05-26,ECHO
2026-05-26,F
2026-05-26,FIX
2026-05-26,FDS
2026-05-27,MU
2026-05-27,TER
2026-05-27,SNDK
2026-05-27,NCLH
2026-05-27,RCL
2026-05-27,COIN
2026-05-27,EXPE
2026-05-27,UAL
2026-05-27,TECH
2026-05-27,GEV
2026-05-28,APP
2026-05-28,HPQ
2026-05-28,COHR
2026-05-28,QCOM
2026-05-28,HOOD
2026-05-28,COIN
2026-05-28,NCLH
2026-05-28,CVNA
2026-05-28,UAL
2026-05-28,CCL
2026-05-29,ECHO
2026-05-29,SMCI
2026-05-29,HOOD
2026-05-29,QCOM
2026-05-29,SNDK
2026-05-29,COIN
